,client_fk,client_name,onboarded_date,case_receiving_date,client_source,total_case,Within_TAT,tat_breach
81665,1037,Jupiter Lifeline Hospital,2019-05-22,2024-10-31,,4,3,1
81727,1016,Sindhura Hospitals,2018-11-06,2024-10-19,,3,3,0
81734,581,RR Diagnostics,2017-08-28,2024-10-14,,1,1,0
81759,3864,Shree Balaji Dental and Ortho Clinic,2024-10-24,2024-10-24,Deepak Yadav and Saravan Choudhary,1,1,0
81765,3843,Unique Sonography & Orthocare - Nashik,2024-10-05,2024-10-30,Anamika Kumari and Nikhil Hugar,5,5,0
81773,3256,NKG Diagnostic,2023-07-08,2024-10-26,5C Admin (Dhiren Lohar),7,7,0
81785,2406,Patna Diagnostic Center,2021-12-09,2024-11-10,Joel Elijah,4,1,3
81820,3269,Svastha Speciality Clinic & Diagnostic Centre,2023-08-02,2024-11-04,5C Admin (Vaishak),6,5,1
81823,2638,Life Care Health Diagnostic - Karwar,2022-05-25,2024-11-04,,4,4,0
81847,2821,Venture Diagnostics - Coimbatore,2024-05-15,2024-10-14,Abhilash Bharathan and Balaganesh A,1,0,1
81851,655,Sahasra Hospital,2018-06-23,2024-10-24,,4,4,0
81859,3867,Dr. Balwant Singh's Hospital Inc - South America,2024-10-24,2024-10-27,Mahesh Salian,10,7,3
81877,362,Pratham Hospital,2019-05-03,2024-11-02,Amith,10,7,3
81892,1539,HTS Digital X-ray - U2,2020-10-29,2024-10-28,,2,2,0
81895,2265,Vardhman Diagnostics Pvt. Ltd.,2021-10-12,2024-10-19,,3,3,0
81928,3529,Meditrina Hospitals - Kollam,2024-09-18,2024-10-30,Abhilash Bharathan and Balaganesh A,5,4,1
81952,2843,Manav Seva Akshar Advance Imaging Centre,2024-09-15,2024-10-17,Anamika Kumari and Nikhil Hugar,2,0,2
81964,3259,Sumangal Hospital,2023-07-17,2024-10-21,Rajendra Prasad,1,1,0
81977,3634,Padma Devaiah Multi-Speciality Hospital,2024-04-09,2024-10-17,Mahesh Salian,1,1,0
82022,3613,Omega Hospitals Vizag,2024-04-01,2024-10-25,Mahesh Kumar G,3,0,0
82036,2784,Mahasati Parvesh Kumari Jain Charitable Society Hospital,2022-09-23,2024-11-09,,3,3,0
82092,2471,Satyadev Multispeciality Hospital,2022-01-10,2024-10-13,,1,0,1
82097,3843,Unique Sonography & Orthocare - Nashik,2024-10-05,2024-10-12,Anamika Kumari and Nikhil Hugar,2,2,0
82152,2831,RS Gaur Global Multispeciality Hospital Pvt.Ltd.,2022-11-07,2024-11-01,,3,0,3
82164,1104,Rainbow Children's Medicare Pvt. Ltd.,2018-04-09,2024-11-06,,35,35,0
82213,2178,Arogya Hospital - Delhi,2024-06-21,2024-11-01,Akshat Misra and Nikhil Hugar,2,2,0
82214,3788,Bharat Cancer Hospital And Research Institute,2024-08-29,2024-10-31,Deepak Yadav and Saravan Choudhary,9,0,0
82242,1597,DMR Polyclinic,2020-12-10,2024-10-12,,2,2,0
82248,2980,Shanmuga Hospital Private Ltd.,2023-03-14,2024-10-15,,1,1,0
82255,269,Reshama X-ray And Pathology Centre,2020-03-08,2024-10-25,,3,3,0
82279,2006,Sree Jayam Ortho & Multispeciality Hospital,2021-07-20,2024-11-07,Abhilash Bharathan,1,1,0
82315,726,Mariahu Pathology & Digital X-ray Center,2019-08-15,2024-10-31,,1,1,0
82319,2839,Eskag Sanjeevani Multispecialty Hospital - Baranagar,2022-11-11,2024-10-23,,25,23,2
82340,2830,Sukanta Health Care & Research Centre,2022-11-07,2024-11-05,,1,1,0
82357,3521,Neuberg Bose Laboratories Pvt Ltd,2024-01-10,2024-10-22,Sathish Jalari,3,3,0
82361,362,Pratham Hospital,2019-05-03,2024-10-24,Amith,1,1,0
82379,1399,Oriental Diagnostic Centre,2020-07-04,2024-10-28,,1,1,0
82410,3773,Sharana Krupa Digital X-Ray Scanning Center,2024-08-31,2024-11-02,Sunil,3,3,0
82443,3791,Nidan Prime Scan Centre - A Venture Of Sgla Imaging llp,2024-08-30,2024-11-01,Anamika Kumari and Nikhil Hugar,1,1,0
82452,1954,Patidar Diagnostic,2021-06-16,2024-10-28,,4,4,0
82454,3844,Bhardwaj Hospital - Himachal Pradesh,2024-10-05,2024-11-02,Anil Kumar and Saravan Choudhary,1,1,0
82501,2357,Legit Medical Diagnostics & Poly Clinic,2021-11-19,2024-10-29,,1,1,0
82532,618,Lotus Diagnostic - AS,2020-02-10,2024-10-29,,2,2,0
82533,3475,Greenwood Hospital Pvt. Ltd.,2023-11-29,2024-11-01,Amith,1,1,0
82591,3788,Bharat Cancer Hospital And Research Institute,2024-08-29,2024-11-09,Deepak Yadav and Saravan Choudhary,7,0,0
82601,2844,Prakhar High Tech CT Scan,2022-11-21,2024-11-01,,1,1,0
82622,1089,Aarya Vedanta Scan Center,2016-08-23,2024-10-20,,1,1,0
82641,2459,Agarwal Nursing Home,2022-01-03,2024-10-21,,4,4,0
82671,2713,Kiran Digital X-ray,2022-07-12,2024-10-19,,1,1,0
82745,2638,Life Care Health Diagnostic - Karwar,2022-05-25,2024-11-10,,1,0,1
82761,1551,Public Labs,2020-11-10,2024-10-21,,1,1,0
82783,1506,Krishna Hospital & Research Center,2020-10-09,2024-10-23,,8,7,1
82792,3660,Gokulam Clinic & scans - Krishnagiri,2024-06-17,2024-10-12,Abhilash Bharathan and Balaganesh A,1,1,0
82794,3820,PCD Diagnostics LLP,2024-09-23,2024-10-19,Anamika Kumari and Nikhil Hugar,3,3,0
82796,939,Mandya Diagnostic Centre Private Ltd.Mandya,2019-06-26,2024-10-13,,1,1,0
82820,2370,A to Z Multispeciality Hospital,2021-11-26,2024-10-15,,2,2,0
82861,212,Hope Scan Centre - UP,2020-03-18,2024-10-24,,12,8,4
82868,1037,Jupiter Lifeline Hospital,2019-05-22,2024-10-20,,8,8,0
82874,3475,Greenwood Hospital Pvt. Ltd.,2023-11-29,2024-10-18,Amith,3,3,0
82897,1551,Public Labs,2020-11-10,2024-10-18,,1,1,0
82938,931,Rabakavi Scan Centre,2019-06-27,2024-10-31,,1,1,0
82940,3673,Tambo Salud,2024-05-09,2024-10-18,Vaishak Shivadasan,1,0,1
82966,3217,CRH ENT MRI And Diagnostics,2023-06-03,2024-10-19,5C Admin (Vaishak),7,6,1
83002,596,Micro Lab & Digital X-ray,2019-05-08,2024-10-16,,4,4,0
83023,3475,Greenwood Hospital Pvt. Ltd.,2023-11-29,2024-10-23,Amith,3,3,0
83035,3720,Vinayak Medicare Hospital,2024-07-13,2024-10-26,Amith,1,1,0
83053,3775,Chest Allergy And Sugar Clinic,2024-08-29,2024-10-13,Deepak Yadav and Saravan Choudhary,1,1,0
83059,1803,Global Diagnostics,2024-05-25,2024-11-04,Joel Elijah,1,1,0
83089,1597,DMR Polyclinic,2020-12-10,2024-10-16,,1,1,0
83126,3268,Meridian Hospital,2023-08-01,2024-11-03,5C Admin (Sathish),4,2,2
83154,432,Preciise Diagnostics,2017-03-20,2024-10-23,,1,1,0
83196,1621,Sri Mamata Diagnostic centre,2021-01-01,2024-11-02,,1,1,0
83215,209,Dr. Vhanmane Wellcare,2019-08-26,2024-11-03,,5,0,5
83223,3811,Annai Amaravathi CT Scan & Lab - Tirunelveli,2024-09-13,2024-11-05,Ayyappan Nagarajan and Balaganesh A,1,0,1
83236,3256,NKG Diagnostic,2023-07-08,2024-10-31,5C Admin (Dhiren Lohar),2,1,1
83291,2370,A to Z Multispeciality Hospital,2021-11-26,2024-10-24,,2,2,0
83340,2782,Apex Diagno Solution,2022-09-20,2024-10-15,,15,15,0
83388,3015,Megsan Diagnostics - KPHB,2023-04-06,2024-11-03,5C Admin (Vaishak),6,2,4
83391,1372,Ebisu Diagnostics - Dasarhalli,2020-06-06,2024-11-02,,1,0,1
83485,2054,Imperial Hospital,2021-08-07,2024-10-13,,1,1,0
83502,212,Hope Scan Centre - UP,2020-03-18,2024-11-07,,25,18,7
83504,2737,Safe Diagnostic,2022-07-25,2024-10-14,,2,2,0
83514,2831,RS Gaur Global Multispeciality Hospital Pvt.Ltd.,2022-11-07,2024-11-02,,10,7,3
83560,1935,Phusro X-ray Clinic,2021-06-06,2024-10-14,joel,1,1,0
83562,362,Pratham Hospital,2019-05-03,2024-10-22,Amith,1,1,0
83588,492,KSDC,2016-12-30,2024-10-27,,1,0,1
83620,3791,Nidan Prime Scan Centre - A Venture Of Sgla Imaging llp,2024-08-30,2024-11-09,Anamika Kumari and Nikhil Hugar,2,0,2
83622,3855,Sambhav Upleta Diagnostic Center - Porbandar,2024-10-12,2024-11-09,Deepak Yadav and Saravan Choudhary,2,0,2
83633,3752,Padmashree Hospital,2024-08-07,2024-10-17,Apoorv L Salehittal,2,2,0
83636,3610,Radiant Diagnostic Centre Bhavnagar,2024-03-20,2024-11-04,Mahesh Salian,1,0,1
83662,3552,St.Isabel's Hospital,2024-02-01,2024-10-30,Yesu Samuels ,2,2,0
83666,3475,Greenwood Hospital Pvt. Ltd.,2023-11-29,2024-10-17,Amith,1,1,0
83706,1667,Harugeri CT Scan Centre,2021-01-26,2024-10-14,,1,1,0
83707,1642,HBS Hospital,2021-01-13,2024-11-05,,1,0,1
83710,3439,Nigerian Lebanese International Hospital,2023-10-13,2024-10-22,Mahesh Salian,2,2,0
83719,3813,New Marvel Healthcare & Diagnostics,2024-09-13,2024-10-26,Rajendra Prasad and Nithin Bharadhwaj,1,1,0
83728,596,Micro Lab & Digital X-ray,2019-05-08,2024-11-02,,1,1,0
83733,2193,Grand CT Scans,2021-09-15,2024-10-30,,3,3,0
83735,3658,Sri Jayadeva Institute Of Cardiovascular Sciences & Research - Mysore,2024-04-29,2024-10-24,Mahesh Salian,1,0,1
83746,3008,TGH Onco Life Cancer Centre,2023-03-31,2024-10-15,Rajendra Prasad,4,0,0
83753,3256,NKG Diagnostic,2023-07-08,2024-10-19,5C Admin (Dhiren Lohar),6,6,0
83777,655,Sahasra Hospital,2018-06-23,2024-10-26,,1,0,1
83888,3586,Arogyadhama Multi Specialty Day Care & Diagnosis Services,2024-02-23,2024-10-29,Anthony Chethan,3,3,0
83933,3475,Greenwood Hospital Pvt. Ltd.,2023-11-29,2024-10-20,Amith,4,4,0
83952,3687,Bhole Vighnaharta Multi Speciality Hospital Parola,2024-06-07,2024-10-18,Nikhil Hugar,3,3,0
83975,2803,Sri Banadeshwara HI-Tech Lab & Scanning Center,2022-10-12,2024-10-13,,2,2,0
84018,3491,Mahisagar Imaging Center,2023-12-19,2024-11-06,Nikhil Hugar,6,5,1
84023,2054,Imperial Hospital,2021-08-07,2024-10-28,,1,0,1
84032,507,Mann Scanning & Diagnostic Center,2019-08-22,2024-10-30,,1,1,0
84040,1669,Suvidha Digital X-ray,2021-01-27,2024-10-18,,2,2,0
84045,3485,Kailash Omega Cancer Centre,2023-12-08,2024-10-30,Vaishak Shivadasan,4,0,0
84099,2393,Camry Hospital,2021-12-02,2024-10-22,,1,1,0
84119,3855,Sambhav Upleta Diagnostic Center - Porbandar,2024-10-12,2024-10-24,Deepak Yadav and Saravan Choudhary,1,1,0
84161,2764,Gayatri Pathology & X-ray Centre,2022-09-01,2024-11-03,,2,2,0
84199,3644,EVR Advanced Diagnostics,2024-06-22,2024-10-25,Mahesh Kumar G,4,4,0
84217,2477,Bioscan Diagnostics,2022-01-15,2024-10-29,,4,4,0
84240,2870,Nirman Hitesh Diagnostic Centre,2022-12-23,2024-10-18,,1,1,0
84258,3829,Pooja Multislice CT Scan Centre,2024-09-26,2024-10-12,Deepak Yadav and Saravan Choudhary,1,1,0
84288,269,Reshama X-ray And Pathology Centre,2020-03-08,2024-10-19,,3,3,0
84306,1372,Ebisu Diagnostics - Dasarhalli,2020-06-06,2024-10-21,,1,1,0
84318,2064,Fortune Medcare Hospital,2021-08-11,2024-10-19,,1,1,0
84328,1372,Ebisu Diagnostics - Dasarhalli,2020-06-06,2024-11-06,,4,2,2
84355,1778,Phoenix Medical Centre,2021-03-30,2024-10-19,,3,3,0
84356,106,Focus Diagnostics Center - Rajajinagar,2017-05-01,2024-10-31,,7,4,3
84372,2764,Gayatri Pathology & X-ray Centre,2022-09-01,2024-11-04,,3,3,0
84500,2193,Grand CT Scans,2021-09-15,2024-11-03,,4,2,2
84512,3475,Greenwood Hospital Pvt. Ltd.,2023-11-29,2024-11-09,Amith,1,1,0
84541,1013,Annai Medical Centre,2018-10-05,2024-10-29,,1,1,0
84570,866,Gadhinglaj Scan And Diagnostic Centre,2019-03-02,2024-11-04,,4,2,2
84575,3439,Nigerian Lebanese International Hospital,2023-10-13,2024-11-07,Mahesh Salian,1,1,0
84612,2064,Fortune Medcare Hospital,2021-08-11,2024-10-18,,4,4,0
84616,1140,Athaayu MultiSpeciality Hospital,2019-04-26,2024-11-09,,1,1,0
84667,1435,Chaudhari Diagnostics,2020-08-14,2024-10-17,,3,3,0
84676,15,Madhubani Medical College & Hospital,2020-04-28,2024-10-23,,1,0,1
84701,3131,Eskag Sanjeevani Pvt. Ltd. (Super Specialty Hospital - Balurghat),2023-05-22,2024-10-20,5C Admin (Amith),3,0,3
84702,3614,Arekere Life Care Diagnostics & Multispeciality Clinic,2024-03-25,2024-11-06,Podugu Bhanuprakash,2,2,0
84704,3720,Vinayak Medicare Hospital,2024-07-13,2024-10-25,Amith,1,1,0
84707,365,Sevasadan Niramaya Hospital Private limited,2019-11-15,2024-10-30,,3,3,0
84759,3005,Cosmos Health Care,2023-03-30,2024-10-19,5C Admin (Sathish),3,3,0
84809,3483,Skyline Medicos and Diagnostics Center ,2023-12-06,2024-10-14,,3,3,0
84810,781,KG Hospital,2017-08-14,2024-10-13,,1,1,0
84842,1506,Krishna Hospital & Research Center,2020-10-09,2024-10-13,,1,1,0
84846,3844,Bhardwaj Hospital - Himachal Pradesh,2024-10-05,2024-10-18,Anil Kumar and Saravan Choudhary,1,1,0
84903,1041,Sreema X-ray,2018-09-30,2024-11-08,,1,1,0
84927,3672,Rajanna CT Scan Center - Sircilla,2024-07-25,2024-10-27,Mahesh Salian,1,1,0
84951,2366,Surakshaa Hospital,2021-11-25,2024-10-18,,5,5,0
84964,2844,Prakhar High Tech CT Scan,2022-11-21,2024-10-17,,2,1,1
84968,1412,Chirayu Multispeciality Hospital,2020-07-21,2024-10-16,,1,1,0
84986,3533,Maitreya Hospital,2024-01-20,2024-11-08,Mahesh Salian,2,0,2
85011,3773,Sharana Krupa Digital X-Ray Scanning Center,2024-08-31,2024-11-10,Sunil,3,2,1
85020,3585,Cancer Centers of America - Amritsar,2024-02-21,2024-10-17,Ajith Jose Moonjely,2,0,0
85100,1372,Ebisu Diagnostics - Dasarhalli,2020-06-06,2024-11-10,,7,6,1
85125,106,Focus Diagnostics Center - Rajajinagar,2017-05-01,2024-11-04,,2,1,1
85140,655,Sahasra Hospital,2018-06-23,2024-10-27,,3,2,1
85148,3570,Medicover Multi Speciality Hospitals Pune ,2024-04-22,2024-10-18,Nikhil Hugar,1,0,1
85154,1372,Ebisu Diagnostics - Dasarhalli,2020-06-06,2024-10-25,,2,2,0
85164,1554,Satyam Diagnostic Center - Dhanapur,2020-11-11,2024-10-22,,4,3,1
85180,1954,Patidar Diagnostic,2021-06-16,2024-10-19,,4,4,0
85235,754,Parkmed Healthcare,2017-08-09,2024-11-09,,1,1,0
85236,1718,Sonoscan Healthcare Pvt. Ltd. -  U2,2021-03-02,2024-11-03,,2,2,0
85266,3475,Greenwood Hospital Pvt. Ltd.,2023-11-29,2024-10-15,Amith,3,3,0
85283,216,SG Hospital,2020-01-31,2024-10-13,,1,1,0
85322,2054,Imperial Hospital,2021-08-07,2024-11-09,,6,3,3
85363,1623,Blue Print Diagnostic & Polyclinic,2021-01-02,2024-10-28,,1,0,1
85394,255,JJ Digital X-ray Lab & ECG Services - Thambaram,2019-05-04,2024-10-21,,1,0,1
85416,3707,SGD Diagnostics Center Pvt. Ltd. ,2024-09-05,2024-11-04,Akshat Misra and Nikhil Hugar,30,10,20
85432,3475,Greenwood Hospital Pvt. Ltd.,2023-11-29,2024-10-26,Amith,1,1,0
85524,521,Rahul CT Scan Centre,2019-02-07,2024-10-16,,2,2,0
85547,315,Ebisu Diagnostic Centre,2016-10-12,2024-10-13,,39,28,11
85604,3512,B.K.Health Care & Diagnostics Centre,2024-01-05,2024-10-30,Amith,1,1,0
85619,1533,Vishal Multi Specialty Health Care Centre,2020-10-27,2024-11-05,,1,1,0
85624,1223,Pinarc Health Imaging CT Scan Centre,2024-05-22,2024-11-05,Nikhil Hugar,1,0,1
85626,3644,EVR Advanced Diagnostics,2024-06-22,2024-10-22,Mahesh Kumar G,4,4,0
85662,596,Micro Lab & Digital X-ray,2019-05-08,2024-11-06,,2,2,0
85674,1372,Ebisu Diagnostics - Dasarhalli,2020-06-06,2024-10-13,,5,4,1
85684,1979,Shri Balaji 4th Generation MRI & Diagnostic Center,2021-07-05,2024-11-05,Mahesh Salian,6,5,1
85700,697,Saral Diagnostic Center - Bhopal,2019-11-12,2024-10-12,,1,1,0
85723,13,Gokul Diagnostic and Scan Centre,2018-09-08,2024-10-27,,1,1,0
85748,3474,Hindusthan Hospital,2023-11-24,2024-11-09,Amith,3,1,2
85756,255,JJ Digital X-ray Lab & ECG Services - Thambaram,2019-05-04,2024-10-18,,1,1,0
85774,3707,SGD Diagnostics Center Pvt. Ltd. ,2024-09-05,2024-11-03,Akshat Misra and Nikhil Hugar,7,2,5
85823,3015,Megsan Diagnostics - KPHB,2023-04-06,2024-10-19,5C Admin (Vaishak),11,10,1
85856,3673,Tambo Salud,2024-05-09,2024-10-15,Vaishak Shivadasan,6,5,1
85887,2357,Legit Medical Diagnostics & Poly Clinic,2021-11-19,2024-11-09,,1,1,0
85890,778,Pen CT & MRI Scan Center,2019-02-02,2024-11-02,,1,1,0
85905,3293,San Camilo,2021-10-20,2024-10-31,Vaishak Shivadasan,19,19,0
85919,2839,Eskag Sanjeevani Multispecialty Hospital - Baranagar,2022-11-11,2024-11-09,,21,16,5
85994,2843,Manav Seva Akshar Advance Imaging Centre,2024-09-15,2024-10-20,Anamika Kumari and Nikhil Hugar,1,1,0
85995,1146,Alurwar Diagnostic Center,2019-05-25,2024-10-21,,3,1,2
86020,3475,Greenwood Hospital Pvt. Ltd.,2023-11-29,2024-11-07,Amith,7,7,0
86049,3533,Maitreya Hospital,2024-01-20,2024-10-24,Mahesh Salian,3,3,0
86075,432,Preciise Diagnostics,2017-03-20,2024-11-09,,1,1,0
86079,3310,Raksha  Health Care,2023-08-18,2024-10-15,Amith,1,1,0
86095,2067,Prism Johnson Limited Medical Centre  (Cement Division),2021-08-13,2024-10-21,,6,6,0
86106,3722,Agrawal Diagnostic Centre LLP,2024-10-03,2024-10-23,Anamika Kumari and Nikhil Hugar,2,2,0
86148,2980,Shanmuga Hospital Private Ltd.,2023-03-14,2024-11-04,,1,0,1
86153,697,Saral Diagnostic Center - Bhopal,2019-11-12,2024-10-13,,5,5,0
86205,2730,GNRC Hospital - Sixmile,2022-07-20,2024-10-18,,16,16,0
86206,3065,Santhosh Nursing Home Multi Speciality Hospital,2023-04-29,2024-11-09,5C Admin (Sathish),1,1,0
86230,2908,Blue Bliss Hospital,2023-01-25,2024-11-02,,1,1,0
86248,2986,Little Clinic,2023-03-17,2024-11-10,,2,2,0
86268,3293,San Camilo,2021-10-20,2024-11-07,Vaishak Shivadasan,35,11,23
86328,1941,Modern CT Scan Centre,2021-06-09,2024-11-04,,1,0,1
86334,2419,Shri Krishna  X-ray,2021-12-14,2024-10-15,,1,1,0
86346,3784,Guru Hospital,2024-08-23,2024-10-23,Apoorv L Salehittal,1,0,1
86359,3549,Neuberg Ehrlich Laboratory Pvt Ltd Puducherry,2024-01-31,2024-10-19,Vaishak Shivadasan,1,1,0
86377,3870,Star Imaging Centre - Udaipur,2024-10-26,2024-11-09,Apoorv L Salehittal,1,0,1
86408,2733,Sri Srinivasa  Multi Speciality  Hospital,2022-07-21,2024-10-28,,3,3,0
86409,3707,SGD Diagnostics Center Pvt. Ltd. ,2024-09-05,2024-11-01,Akshat Misra and Nikhil Hugar,12,12,0
86411,3672,Rajanna CT Scan Center - Sircilla,2024-07-25,2024-11-05,Mahesh Salian,5,5,0
86440,1372,Ebisu Diagnostics - Dasarhalli,2020-06-06,2024-10-17,,1,0,1
86465,3820,PCD Diagnostics LLP,2024-09-23,2024-10-18,Anamika Kumari and Nikhil Hugar,2,2,0
86467,3795,Gunjan Diagnostic,2024-09-03,2024-10-12,Nikhil Hugar,11,11,0
86470,2067,Prism Johnson Limited Medical Centre  (Cement Division),2021-08-13,2024-10-18,,1,1,0
86479,3707,SGD Diagnostics Center Pvt. Ltd. ,2024-09-05,2024-11-02,Akshat Misra and Nikhil Hugar,13,13,0
86481,2908,Blue Bliss Hospital,2023-01-25,2024-11-06,,3,2,1
86483,1778,Phoenix Medical Centre,2021-03-30,2024-10-23,,1,1,0
86485,1094,Sarvoday Hospital,2019-02-09,2024-10-28,,2,0,2
86488,2638,Life Care Health Diagnostic - Karwar,2022-05-25,2024-10-22,,1,1,0
86544,1223,Pinarc Health Imaging CT Scan Centre,2024-05-22,2024-10-13,Nikhil Hugar,2,2,0
86570,2730,GNRC Hospital - Sixmile,2022-07-20,2024-10-21,,18,17,1
86725,521,Rahul CT Scan Centre,2019-02-07,2024-11-02,,4,4,0
86752,3705,Dorika Hospital - Assam,2024-06-28,2024-10-28,Mahesh Salian,4,1,3
86818,1597,DMR Polyclinic,2020-12-10,2024-11-05,,1,1,0
86829,2980,Shanmuga Hospital Private Ltd.,2023-03-14,2024-11-08,,2,1,1
86869,442,Malnad Hitech Diagnostic Centre,2024-08-19,2024-10-16,Mahesh Salian,6,5,1
86889,3707,SGD Diagnostics Center Pvt. Ltd. ,2024-09-05,2024-11-05,Akshat Misra and Nikhil Hugar,19,9,10
86898,3475,Greenwood Hospital Pvt. Ltd.,2023-11-29,2024-11-06,Amith,1,1,0
86916,3005,Cosmos Health Care,2023-03-30,2024-10-22,5C Admin (Sathish),1,0,1
86919,1597,DMR Polyclinic,2020-12-10,2024-10-20,,1,1,0
86925,2733,Sri Srinivasa  Multi Speciality  Hospital,2022-07-21,2024-10-13,,8,5,3
86952,3684,Marian Medical Centre - Puliyannoor,2024-06-05,2024-10-13,Abhilash Bharathan and Balaganesh A,4,4,0
87049,350,Sehgal Neo Hospital,2019-09-18,2024-11-10,,8,7,1
87057,269,Reshama X-ray And Pathology Centre,2020-03-08,2024-10-28,,1,1,0
87076,3644,EVR Advanced Diagnostics,2024-06-22,2024-10-13,Mahesh Kumar G,1,1,0
87094,1944,Pandian Multispeciality Hospital,2021-06-10,2024-11-06,,2,2,0
87154,67,Dr. G. Viswanathan Speciality Hospital,2024-04-01,2024-10-31,Yesu Samuel,2,1,1
87159,2844,Prakhar High Tech CT Scan,2022-11-21,2024-11-05,,2,1,1
87223,3447,Bansal Hospital Sagar,2023-10-20,2024-10-27,Mahesh Salian,9,2,7
87230,2441,Ohm Muruga Hospital,2021-12-21,2024-10-14,,1,1,0
87242,1954,Patidar Diagnostic,2021-06-16,2024-10-25,,4,4,0
87268,3612,Shri Siddhi vinayak hospital ,2024-03-22,2024-10-18,Vaishak Shivadasan,1,1,0
87294,3844,Bhardwaj Hospital - Himachal Pradesh,2024-10-05,2024-11-05,Anil Kumar and Saravan Choudhary,1,1,0
87304,350,Sehgal Neo Hospital,2019-09-18,2024-10-29,,5,5,0
87340,362,Pratham Hospital,2019-05-03,2024-10-27,Amith,1,1,0
87357,1435,Chaudhari Diagnostics,2020-08-14,2024-11-08,,1,1,0
87390,1892,Goalpara Sonoscan Centre,2021-05-05,2024-11-04,,5,4,1
87392,1851,Life Line Diagnostics Centre,2021-04-19,2024-10-27,,2,0,2
87417,2441,Ohm Muruga Hospital,2021-12-21,2024-10-25,,1,1,0
87458,3653,The Bio Clinical Laboratory,2024-04-25,2024-10-14,Anthony Chethan,5,5,0
87460,3512,B.K.Health Care & Diagnostics Centre,2024-01-05,2024-10-26,Amith,1,1,0
87466,12,Mahadev Multispeciality Hospital,2018-10-29,2024-11-10,,2,0,2
87537,3322,Insight Medical Diagnostic,2023-08-28,2024-11-09,Nikhil Hugar,7,7,0
87563,3601,Narayani Hospital A Unit of SCS PRO.CO.,2024-03-12,2024-10-14,Mahesh Salian,1,1,0
87608,3234,Megsan Diagnostics - Siddartha Hospital,2023-06-07,2024-11-08,5C Admin (Vaishak),1,0,1
87631,2561,Gowri Maheshwara Scan Centre,2022-04-04,2024-10-30,,1,1,0
87646,3475,Greenwood Hospital Pvt. Ltd.,2023-11-29,2024-10-30,Amith,1,1,0
87667,3707,SGD Diagnostics Center Pvt. Ltd. ,2024-09-05,2024-11-06,Akshat Misra and Nikhil Hugar,14,8,6
87687,3475,Greenwood Hospital Pvt. Ltd.,2023-11-29,2024-10-12,Amith,1,1,0
87697,3777,Roy X-Ray Clinic,2024-08-21,2024-10-23,Sandipan Das and Mukta Nandi,2,2,0
87711,3733,A R Diagnostics,2024-08-22,2024-10-30,Joel Elijah,3,2,1
87718,1597,DMR Polyclinic,2020-12-10,2024-10-24,,1,1,0
87723,3788,Bharat Cancer Hospital And Research Institute,2024-08-29,2024-10-30,Deepak Yadav and Saravan Choudhary,6,0,0
87740,2980,Shanmuga Hospital Private Ltd.,2023-03-14,2024-10-27,,1,0,1
87753,1892,Goalpara Sonoscan Centre,2021-05-05,2024-11-03,,2,0,2
87755,1597,DMR Polyclinic,2020-12-10,2024-11-09,,4,4,0
87759,451,Woodland Hospital,2019-03-23,2024-10-27,,1,1,0
87786,3485,Kailash Omega Cancer Centre,2023-12-08,2024-11-04,Vaishak Shivadasan,5,0,0
87791,3687,Bhole Vighnaharta Multi Speciality Hospital Parola,2024-06-07,2024-10-23,Nikhil Hugar,2,2,0
87838,3707,SGD Diagnostics Center Pvt. Ltd. ,2024-09-05,2024-11-08,Akshat Misra and Nikhil Hugar,11,9,2
87918,3322,Insight Medical Diagnostic,2023-08-28,2024-11-02,Nikhil Hugar,1,1,0
87934,1506,Krishna Hospital & Research Center,2020-10-09,2024-11-06,,2,1,1
87950,3475,Greenwood Hospital Pvt. Ltd.,2023-11-29,2024-10-25,Amith,1,1,0
87966,3610,Radiant Diagnostic Centre Bhavnagar,2024-03-20,2024-11-01,Mahesh Salian,1,1,0
87990,3467,Ashirwad Clinic And Diagnostic Centre ,2023-11-21,2024-11-08,Nikhil Hugar,1,0,1
88006,757,Utkarsh Scan Centre,2019-02-23,2024-11-01,Amith,3,3,0
88049,254,Siddaganga Diagnostic Center,2016-10-18,2024-10-13,,5,5,0
88055,1426,Neha Prakash Hospital,2020-08-03,2024-10-29,,1,1,0
88081,2561,Gowri Maheshwara Scan Centre,2022-04-04,2024-10-15,,1,1,0
88083,3065,Santhosh Nursing Home Multi Speciality Hospital,2023-04-29,2024-10-19,5C Admin (Sathish),1,1,0
88092,2406,Patna Diagnostic Center,2021-12-09,2024-10-29,Joel Elijah,1,1,0
88094,3552,St.Isabel's Hospital,2024-02-01,2024-11-02,Yesu Samuels ,2,2,0
88108,12,Mahadev Multispeciality Hospital,2018-10-29,2024-11-09,,8,5,3
88134,1669,Suvidha Digital X-ray,2021-01-27,2024-10-26,,1,1,0
88166,3792,Sree Venkateshwara Speciality Hospital - Bengaluru,2024-09-04,2024-10-12,Sathish Jalari,1,1,0
88198,1890,Narmada Apna Hospital,2021-05-05,2024-10-30,,1,1,0
88227,3704,Neuberg Supratech Inspire Diagnostics LLP - Raipur,2024-07-09,2024-10-15,Mahesh Salian,8,8,0
88290,106,Focus Diagnostics Center - Rajajinagar,2017-05-01,2024-10-19,,2,2,0
88298,3444,Dharamsheela Devi Multispeciality Hospital,2023-10-19,2024-10-29,Mahesh  Salian,1,1,0
